CPH,ProducerID,TradingName,Date
08/355/0006/,3934,W GARNETT & SON,2017-01-03
08/367/0014/,3986,MESSRS T W NELSON & SON,2017-01-03
08/634/0035/,4243,F A & J M GRAVES,2017-01-03
08/674/0013/,4340,R B & L J SATTERTHWAITE & SON,2017-01-03
14/079/0094/,8272,MR A W & MRS J KING,2017-01-03
38/334/0029/,30202,T/A: Longwood Farm,2017-01-03
21/094/0147/,30744,Evolution Farming Limited,2017-01-04
10/077/0065/,30795,J G Quicke & Partners,2017-01-04
14/094/0033/,8297,W J TINNEY & SONS,2017-01-04
10/397/0033/,6848,C J Parish & Son,2017-01-04
10/005/0048/,5134,T/A: JE & PNJ Scott,2017-01-04
10/077/0065/,5448,J G QUICKE & PARTNERS,2017-01-04
07/222/0014/,2662,J G & R W NEVINSON & SON,2017-01-04
08/057/0052/,3026,R J RIGGE,2017-01-04
08/057/0085/,3028,T JOPSON & SON,2017-01-04
08/062/0046/,3041,R H & J KNOWLES,2017-01-04
08/062/0079/,3042,A P & F CORNTHWAITE,2017-01-04
06/112/0008/,560,P J EDWARDS,2017-01-04
06/200/0033/,797,MESSRS P.JEFFS & SONS,2017-01-04
06/209/0022/,831,MESSRS H HEATH & SONS,2017-01-04
06/229/0003/,894,M J RICHARDSON & PARTNERS,2017-01-04
06/229/0003/,894,M J RICHARDSON & PARTNERS,2017-01-04
07/018/0196/,1642,G W BUNKUM & SON,2017-01-04
07/028/0004/,1695,Mr N H Burden,2017-01-04
07/114/0002/,2058,R C EAMES & SON,2017-01-04
07/160/0033/,2284,D PHILP & SON,2017-01-04
08/033/0008/,2840,MESSRS W E & D M HILL & SON,2017-01-05
08/046/0041/,2989,M J & M WILSON & SONS,2017-01-05
08/169/0038/,3559,MESSRS BARKER,2017-01-05
10/076/0013/,5432,A J & R L POOLE,2017-01-05
10/076/0014/,5433,D J & S J MILLS,2017-01-05
15/012/0163/,8618,BLACKBURN & HAYNES,2017-01-05
15/130/0049/,8702,A H BROWN (HAYLING ISLAND) LTD,2017-01-05
37/146/0017/,15052,B J MOULD LTD,2017-01-05
37/180/0043/,15122,J & S  HAMMOND,2017-01-05
37/187/0055/,15150,DW & JL BOWERS,2017-01-05
37/248/0078/,15473,S G LEE & SONS,2017-01-06
37/099/0029/,14933,MESSRS F BARKER & SONS,2017-01-06
25/513/0159/,11222,Jon Appleby and Joy Appleby,2017-01-06
06/221/0011/,866,H A CHALLONER & SONS,2017-01-06
41/032/0093/,29583,D S & E J LE MAY,2017-01-06
17/041/0005/,8956,W H & N J Millington,2017-01-08
21/412/0013/,10494,DRINKALL BROS,2017-01-08
29/009/0058/,11418,T/A: BARNOWL JERSEY STUD,2017-01-09
35/152/0137/,12734,E D Goff,2017-01-09
06/285/0047/,1133,Broomlea Farms Limited,2017-01-09
35/270/0286/,30114,T/A: C & P Allen,2017-01-09
56/040/0123/,21931,H R & E R HUGHES,2017-01-09
05/034/0711/,30050,Jonathan Willis,2017-01-10
08/345/0003/,3389,M/S RICHARDS & RICHARDS,2017-01-10
07/182/0010/,2386,R W J WILLIAMS & SON,2017-01-11
07/171/0003/,2328,T C LANE,2017-01-11
07/037/0067/,1740,G J CARTER,2017-01-11
06/219/0016/,859,T.R. & J.M. OULTRAM & SONS,2017-01-11
06/219/0019/,860,M/S T & R GLEAVE & SONS,2017-01-11
17/072/0010/,8983,I J AND M E BAILEY,2017-01-11
17/147/0064/,9066,Beaconhill Farm,2017-01-11
14/149/0001/,8350,Lydney Park Farms,2017-01-11
10/211/0046/,6158,MESSRS D G & J Y HOOPER,2017-01-11
43/214/0017/,16195,J A & J M INSALL,2017-01-11
