TradingName,Date
"DA, NA, JM PARKHOUSE & AR OATEY",2018-01-02
N J & L GOLDSWORTHY,2018-01-02
D & B & A FRY,2018-01-02
T SMITH & SONS LTD,2018-01-02
MR J J G HILL,2018-01-02
R J ROSE & SON LTD,2018-01-02
A J Horsington & Son,2018-01-02
T/A: DR & VA Lawrence,2018-01-03
J C W ROGERS,2018-01-03
J W & J Holland,2018-01-03
T A Wainwright & Son,2018-01-03
HAYDON FARM PARTNERSHIP,2018-01-03
C H & P C CORBETT LTD,2018-01-03
W B MANLEY & SON,2018-01-03
T P & J H ISAAC,2018-01-03
C H FURSE & SON,2018-01-03
South West Graham,2018-01-03
F H COOKSON & SONS,2018-01-03
M W BROWN,2018-01-04
M N SHERE,2018-01-04
Dallyn's Dairy Ltd,2018-01-04
PHR FARMS,2018-01-04
PHR FARMS,2018-01-04
O PILKINGTON & SONS,2018-01-04
S G LEE & SONS,2018-01-04
COSTON HALL FARMS LTD,2018-01-04
MR & MRS W WALES,2018-01-04
M R MOSLEY,2018-01-04
T & S Farms,2018-01-04
GREYS MILKING SHEEP CO.,2018-01-04
R J & J MATKIN,2018-01-04
W R BELLINGHAM & SON,2018-01-05
O G NEAGLE,2018-01-05
A E ROSS & SON,2018-01-05
J F TEMPLE & SON LTD,2018-01-05
Jon Appleby and Joy Appleby,2018-01-05
MESSRS D HEATH & SON,2018-01-05
WEST FARMS,2018-01-05
A H BROWN (HAYLING ISLAND) LTD,2018-01-05
JETHAWK,2018-01-05
G W NEVILLE,2018-01-05
G J CARTER,2018-01-05
C THOMAS & SON,2018-01-05
Willis Dairy Farmers Ltd,2018-01-08
S S & J C DAVIES,2018-01-08
J MARROW,2018-01-08
P M & J T WILSON,2018-01-08
J H DORRINGTON & SON (DUNSBY) LTD,2018-01-08
A E ALLEN & SON,2018-01-08
Bubney Farms Ltd,2018-01-08
A R & E R JONES,2018-01-08
DAVIES BROS,2018-01-08
BARBER FARMS,2018-01-08
I NEWTON & SON,2018-01-09
Lewis Farming,2018-01-09
T/A: High Ash Farm,2018-01-09
W & J NEWHOUSE,2018-01-09
"G J, P J & S GORNALL",2018-01-09
RH & JS VICKERY,2018-01-09
J R DINSDALE & SONS,2018-01-09
N W & S E Legg & Sons,2018-01-09
D G FRANKPITT,2018-01-09
R J & K J COLE,2018-01-09
C J & N L Bright & Sons,2018-01-10
P W & S J Slade,2018-01-10
MRS E M & MR J T HUNTBACH,2018-01-10
"AA Parsons, AE Parsons &  AA Parsons",2018-01-10
BRADLEY FARM PARTNERSHIP,2018-01-10
G H & S A PARSONS Ltd,2018-01-10
MESSRS E J HODGSON & SON,2018-01-10
C GIBSON & SON,2018-01-10
MR R CORNFORTH,2018-01-10
M/S G ARMSTRONG & SON,2018-01-10
P C M & N M PUGH,2018-01-10
M C EVANS & SON,2018-01-10
P C Gwilt,2018-01-10
P C Gwilt,2018-01-10
C H & E S LUNT & SON,2018-01-10
N L Ford & Son,2018-01-10
E D Goff,2018-01-10
The Goodwood Estate Company Ltd,2018-01-10
W E Gordon & Sons,2018-01-10
W F SCOTT & SON,2018-01-10
P H Bourne & Partners,2018-01-10
D & P THOMPSON,2018-01-10
Dreamers Farm,2018-01-11
T/A: Mays Farm Ringmer,2018-01-11
T/A: Martyn Eastham and Claire Chippindale,2018-01-11
T/A: Martyn Eastham and Claire Chippindale,2018-01-11
M C Clothier Partnership,2018-01-11
M C Clothier Partnership,2018-01-11
H W OULTRAM & CO,2018-01-11
T I M & J N Frazer,2018-01-11
I P Richards,2018-01-11
E & M JONES & SONS,2018-01-11
ASTRIDGE FARM LTD,2018-01-11
P C Gwilt,2018-01-11
Richards & Co.,2018-01-11
E T James & Co,2018-01-11
D J & R L Thomas,2018-01-11
M E & I E VANSTONE & SONS,2018-01-11
D C BARTLETT,2018-01-11
R E BUGLER & PARTNERS,2018-01-12
MESSRS D J HARRISON,2018-01-12
A F W & I CARR,2018-01-12
MESSRS P & A JARMAN,2018-01-12
A J & M E MINSHALL LTD,2018-01-12
D S HARRISON,2018-01-12
W P GANGE & SON,2018-01-12
Fen Farm Dairy Limited,2018-01-12
MR T W BUSBY & SON,2018-01-12
E S Triggol Ltd,2018-01-12
T/A: The Calf at Foot Dairy,2018-01-12
